01/01/2006 00:00,3,10851(A)VC TAKE VEH W/O OWNER
01/01/2006 00:00,5,459 PC  BURGLARY RESIDENCE
01/01/2006 00:00,2,10851(A)VC TAKE VEH W/O OWNER
01/01/2006 00:00,6,476 PC PASS FICTICIOUS CHECK
01/01/2006 00:00,2,459 PC  BURGLARY-UNSPECIFIED
01/01/2006 00:00,6,530.5 PC USE PERSONAL ID INFO
01/01/2006 00:00,4,459 PC  BURGLARY VEHICLE
01/01/2006 00:00,3,484 PC   PETTY THEFT/INSIDE
01/01/2006 00:00,2,459 PC  BURGLARY BUSINESS
01/01/2006 00:00,1,1708 US   THEFT OF MAIL
01/01/2006 00:00,6,ASSAULT WITH WEAPON - I RPT
01/01/2006 00:00,6,530.5 PC USE PERSONAL ID INFO
01/01/2006 00:00,4,SUSP PERS-NO CRIME - I RPT
01/01/2006 00:00,3,530.5 PC USE PERSONAL ID INFO
01/01/2006 00:00,6,484G(B) PC ACCESS CARD FRAUD
01/01/2006 00:00,6,487(A) PC GRAND THEFT
01/01/2006 00:00,6,TELEPEST -I RPT
01/01/2006 00:00,3,487(A) GRAND THEFT-INSIDE
01/01/2006 00:00,6,530.5 PC USE PERSONAL ID INFO
01/01/2006 00:00,4,484J PC PUBLISH CARD INFO
01/01/2006 00:01,5,459 PC  BURGLARY VEHICLE
01/01/2006 00:01,2,484G(B) PC ACCESS CARD FRAUD
01/01/2006 00:01,4,484 PC PETTY THEFT
01/01/2006 00:01,2,459 PC  BURGLARY VEHICLE
01/01/2006 00:01,5,TRAFFIC - I RPT
01/01/2006 00:01,6,594(B)(1)PC  VANDALISM +$400
01/01/2006 00:01,5,484G(B) PC ACCESS CARD FRAUD
01/01/2006 00:01,4,484 PC  PETTY THEFT/ OUTSIDE
01/01/2006 00:01,5,HARASSMENT - I RPT
01/01/2006 00:01,2,484 PC PETTY THEFT
01/01/2006 00:01,4,LOST PROPERTY - I RPT
01/01/2006 00:01,2,459 PC  BURGLARY RESIDENCE
01/01/2006 00:01,3,484G(A)PC USE FORGED CARD
01/01/2006 00:01,6,503 PC   EMBEZZLEMENT
01/01/2006 00:01,4,TELEPEST -I RPT
01/01/2006 00:01,1,487(A) GRAND THEFT-INSIDE
01/01/2006 00:01,1,653M(A) PC OBSCENE/THREAT CALL
01/01/2006 00:01,3,484 PETTY THEFT/LICENSE PLATE
01/01/2006 00:01,3,FOUND PROPERTY - I RPT
01/01/2006 00:01,1,530.5 PC USE PERSONAL ID INFO
01/01/2006 00:01,1,530.5 PC USE PERSONAL ID INFO
01/01/2006 00:01,1,484J PC PUBLISH CARD INFO
01/01/2006 00:01,3,THREATS - I RPT
01/01/2006 00:01,3,530 PC FALSE PERS. REC PROP
01/01/2006 00:10,6,246 PC SHOOT OCCUP DWELL/VEH
01/01/2006 00:15,2,10851(A)VC TAKE VEH W/O OWNER
01/01/2006 00:18,6,SHOOT INTO OCCUP DWELL - I RPT
01/01/2006 00:19,3,FOUND PROPERTY - I RPT
01/01/2006 00:24,4,243(E)1 BATTERY NONCOHAB SPOUS
